long,short,long_mean_trigram_surprisal,short_mean_trigram_surprisal,trigram_diff,long_trigram_count,short_trigram_count,long_count,short_count,long_mean_bigram_surprisal,short_mean_bigram_surprisal,bigram_diff,long_bigram_count,short_bigram_count
kilogram,kilo,11.15331586809673,12.821489558704148,-1.6681736906074178,1251,1066,499408,394076,18.340028958371178,17.728192486237642,0.6118364721335361,288,423
hippopotamus,hippo,13.136501143536979,12.849073126799587,0.28742801673739216,257,579,93445,433307,18.138122659354387,17.353913655882938,0.7842090034714495,154,336
chimpanzee,chimp,13.188232908427866,13.278054824119922,-0.08982191569205611,630,571,258730,358764,18.13419026992754,17.80501903770476,0.3291712322227802,334,346
cockroach,roach,14.012843059113742,7.741307547273919,6.271535511839823,531,3571,208511,1470389,17.996651724620573,15.734937950249291,2.261713774371282,305,664
rhinoceros,rhino,12.560813952466072,11.948305693491491,0.6125082589745805,393,865,142700,389344,17.536971234356148,17.435986104707364,0.10098512964878381,186,477
dormitory,dorm,14.68895656334571,12.72122394299399,1.96773262035172,1088,2517,442357,1271429,18.38486610411374,17.36697140262367,1.0178947014900714,545,1029
carbohydrate,carb,12.19247225347554,9.857902386367163,2.3345698671083763,3833,3356,1485241,2382668,15.841168749522248,15.795915447595906,0.04525330192634236,1357,1378
saxophone,sax,10.168839451476375,10.389507403681248,-0.22066795220487379,2046,1887,983119,1038406,16.73712601753001,16.64021520544102,0.09691081208898922,695,833
fraternity,frat,12.998826098878464,12.930088077243548,0.06873802163491582,2362,1256,948398,513633,16.900684226207332,17.024985925975287,-0.12430169976795469,1217,718
chemotherapy,chemo,10.594040496460785,14.075381561316094,-3.481341064855309,6491,1203,2614795,374807,14.884414745181857,17.879269537581838,-2.9948547923999804,1587,589
referee,ref,13.204525764910283,10.928612079622416,2.2759136852878665,3112,9864,1476815,6950222,17.331347072694147,15.907488472619537,1.4238586000746096,1110,3344
memorandum,memo,12.525600976469088,11.787479576050776,0.7381214004183114,3665,5735,1932997,3097803,16.54500752657185,16.354195159012843,0.19081236755900832,1315,2446
limousine,limo,9.03914671174949,9.263184629802637,-0.22403791805314732,3973,3364,1431317,1343222,15.726550023537653,15.539184022462626,0.1873660010750271,1453,1291
refrigerator,fridge,11.067423952245989,10.98189534240706,0.08552860983892785,4887,4011,2904596,2441379,15.858901698361432,15.904949793509013,-0.046048095147581236,1619,1348
undergraduate,undergrad,12.529095098700592,13.736958588301963,-1.2078634896013707,13771,880,6982333,397653,15.723153184830382,18.79032322373309,-3.0671700389027077,3427,461
bicycle,bike,12.174408394748937,9.811170516447234,2.363237878301703,9680,24423,3973679,12287270,16.036495375187396,14.65214290439454,1.384352470792857,3694,6593
examination,exam,10.093410971999093,9.625594542880847,0.46781642911824584,26664,20427,16532781,10481361,14.03336956020942,14.15432295385478,-0.12095339364535995,6763,6406
mathematics,math,12.174473532586216,11.327893323638639,0.8465802089475769,14322,21100,7974080,11002326,15.920561666426066,13.98227494757042,1.938286718855645,3133,6205
photograph,photo,11.28734553045213,8.585379126596772,2.7019664038553586,12194,100559,6673409,84620115,15.4796845779332,12.446968422738475,3.0327161551947253,3780,28589
pornography,porn,10.888167264075857,6.528747432706016,4.359419831369841,7416,117659,3033487,95177282,15.044854500341915,10.677335590531229,4.367518909810686,2565,17942
telephone,phone,10.799134623595872,7.901642010525978,2.897492613069894,41447,106524,27200725,98173389,14.641541991740882,12.334091510684758,2.307450481056124,8715,20921
television,tv,10.37518526998543,8.311878408123698,2.063306861861731,42286,28005,23434747,17018728,14.644876266510943,13.086768209810273,1.5581080567006698,8753,9432
