long,short,long_mean_trigram_surprisal,short_mean_trigram_surprisal,trigram_diff,long_trigram_count,short_trigram_count,long_count,short_count,long_mean_bigram_surprisal,short_mean_bigram_surprisal,bigram_diff,long_bigram_count,short_bigram_count
kilogram,kilo,9.484435573175377,9.042778598653914,0.4416569745214627,650,1242,1340,2721,15.868547378624777,15.511429658475558,0.35711772014921905,165,346
hippopotamus,hippo,12.222696213783186,10.34158580820151,1.8811104055816763,196,933,308,1820,17.04308299840826,15.583024583534451,1.4600584148738083,106,376
chimpanzee,chimp,11.345095283833038,11.026351291539502,0.3187439922935358,564,1259,1131,2443,15.407709887236186,15.349411653020857,0.05829823421532865,257,482
cockroach,roach,10.326567039000931,9.615115018367106,0.7114520206338248,860,2621,1755,4423,15.400479836390964,15.072544486152099,0.32793535023886555,387,865
rhinoceros,rhino,10.602348529489225,9.204230697753994,1.398117831735231,339,2658,576,4921,15.354132805740923,14.407235197407045,0.9468976083338774,162,943
dormitory,dorm,11.580254966679481,10.184868594732915,1.3953863719465662,273,2531,449,9291,16.12801448602797,13.84165028272663,2.286364203301339,139,843
carbohydrate,carb,9.545370534871115,8.925344261595374,0.6200262732757409,888,3453,1591,8181,15.139257840630446,14.126764248000205,1.012493592630241,335,924
saxophone,sax,10.216161786711526,7.921771523762862,2.2943902629486637,675,1137,1249,2071,15.32982737103721,14.392501683625923,0.9373256874112865,282,365
fraternity,frat,10.429136639053382,10.47003864896017,-0.040902009906787384,2072,2792,5359,5550,14.639310053025724,14.464516194680145,0.1747938583455788,731,983
chemotherapy,chemo,10.957340525409126,11.262449528203057,-0.3051090027939303,1132,1901,1695,3338,16.306753830299613,15.910234490867007,0.3965193394326061,407,551
referee,ref,9.588443486567858,8.833091197247992,0.7553522893198661,3552,8344,11329,35721,13.186894396630246,13.25573142994257,-0.06883703331232383,1174,2306
memorandum,memo,9.279890652213105,8.853883451538495,0.4260072006746096,537,2671,1730,11029,13.432068739592115,13.156682460515906,0.2753862790762085,254,1014
limousine,limo,11.159086650781383,10.67341695039143,0.4856697003899537,381,831,626,1667,15.319836038157222,15.061152616037687,0.2586834221195353,196,342
refrigerator,fridge,11.088457935053103,9.583168713984017,1.505289221069086,1326,4176,3229,21646,15.227700997514553,13.910265831818714,1.317435165695839,496,1261
undergraduate,undergrad,10.378418288027246,9.737339034633617,0.6410792533936291,3186,5448,7205,15923,14.149379444774834,14.228731795097438,-0.07935235032260479,929,1221
bicycle,bike,9.657942425778717,7.638751015032573,2.019191410746145,5000,27000,12654,117300,13.869769414495144,11.04967915122965,2.8200902632654934,1773,5635
examination,exam,8.311367724916973,7.80010683404575,0.5112608908712231,3061,9355,6105,29402,13.312436957740694,12.29739330298837,1.0150436547523238,963,2462
mathematics,math,9.389919913906125,8.629729214532814,0.760190699373311,6764,22799,14564,78277,14.070183174915337,12.316502973769534,1.7536802011458033,1552,4408
photograph,photo,10.293854109496621,7.696074052794668,2.5977800567019536,3562,22660,10169,110344,13.56336515873064,10.931931932157527,2.6314332265731135,1142,6174
pornography,porn,8.453962627518363,7.096700784041782,1.3572618434765813,5451,38748,11795,103617,14.062673161984415,11.311131224063002,2.751541937921413,1446,6951
telephone,phone,9.267141900608875,6.806832505235042,2.460309395373833,4829,55699,10096,364491,13.84684677167146,10.303914850905075,3.542931920766385,1630,9677
television,tv,8.405115201879763,6.89091840336007,1.5141967985196931,15642,66462,43061,305415,12.640091619988402,10.400809922331241,2.2392816976571606,3308,10759
