long,short,long_mean_trigram_surprisal,short_mean_trigram_surprisal,trigram_diff,long_trigram_count,short_trigram_count,long_count,short_count,long_mean_bigram_surprisal,short_mean_bigram_surprisal,bigram_diff,long_bigram_count,short_bigram_count
kilogram,kilo,5.532313037259883,5.638745110427167,-0.10643207316728365,863,1885,1340,2721,15.253962368144819,14.45151960505931,0.8024427630855087,426,923
hippopotamus,hippo,5.754911541345782,5.413952994013768,0.34095854733201403,215,1175,308,1820,15.75040030960834,15.282699104311874,0.46770120529646597,210,805
chimpanzee,chimp,5.876079598836493,6.141794527823642,-0.26571492898714855,785,1679,1131,2443,15.113896787507763,15.15641098161055,-0.04251419410278778,587,1119
cockroach,roach,6.03162049991057,5.380126001493924,0.6514944984166462,1189,3069,1755,4423,14.899129172491234,14.445802908934985,0.4533262635562494,816,1537
rhinoceros,rhino,5.325025001999846,5.124249369316208,0.20077563268363807,391,3366,576,4921,15.013972905930814,14.017058085088127,0.9969148208426866,335,1901
dormitory,dorm,5.470099315014331,6.231092948501616,-0.7609936334872849,363,6349,449,9291,15.652801271686108,13.884209906500686,1.7685913651854221,281,2431
carbohydrate,carb,4.903598434186903,5.185621640299744,-0.28202320611284115,1071,4706,1591,8181,14.636325112643982,13.845252737472109,0.7910723751718738,590,1693
saxophone,sax,5.562398954979243,4.266512724517379,1.2958862304618641,856,1362,1249,2071,14.966834746598407,14.335893625600791,0.6309411209976155,531,655
fraternity,frat,6.119677052834977,6.414120128143071,-0.2944430753080942,3618,3912,5359,5550,14.673131780379098,14.38133081377262,0.2918009666064787,1797,2001
chemotherapy,chemo,6.308332092803192,6.976518718439834,-0.6681866256366424,1232,2326,1695,3338,15.251476269076944,15.183922981210344,0.06755328786660009,756,1129
referee,ref,5.907575871592924,5.8225235372928745,0.0850523343000491,7015,19568,11329,35721,13.503471562423817,12.58893715237451,0.9145344100493062,3071,5449
memorandum,memo,3.465064413289831,5.253751225536225,-1.7886868122463935,837,5385,1730,11029,14.165122230438309,13.594049536453413,0.5710726939848954,501,2090
limousine,limo,5.246125395519624,5.64877568709441,-0.40265029157478605,446,1262,626,1667,15.051105109055879,15.051759244469654,-0.0006541354137752364,379,828
refrigerator,fridge,5.891982311588554,5.352776097649934,0.5392062139386198,2391,14596,3229,21646,14.749273372970855,12.782604667698468,1.9666687052723866,1377,4169
undergraduate,undergrad,6.531010008210921,6.345176201428558,0.18583380678236328,4849,9824,7205,15923,14.055231041649735,13.501258616183481,0.5539724254662541,2200,3304
bicycle,bike,5.707899726564399,5.265328961439667,0.44257076512473237,8602,67482,12654,117300,13.514879924825818,10.78883560378269,2.726044321043128,3728,11496
examination,exam,4.641488897394346,5.322549243690652,-0.6810603462963059,4364,19814,6105,29402,13.808895531365325,12.619629196536662,1.1892663348286625,1828,4667
mathematics,math,5.5825240334588315,6.001869200464518,-0.41934516700568647,9905,40968,14564,78277,13.535525369066418,11.771186649598544,1.7643387194678741,3095,8826
photograph,photo,6.240280859828367,5.489537727899111,0.7507431319292559,6712,57612,10169,110344,13.746908643068226,10.68818387281585,3.0587247702523754,2854,12332
pornography,porn,5.063724058737114,5.032165394477486,0.031558664259628166,7150,59907,11795,103617,13.89698832138792,11.172150746061245,2.7248375753266743,2461,11157
telephone,phone,5.491736553860608,4.981050340960271,0.5106862129003371,7189,185892,10096,364491,13.682581247990203,9.497375834174676,4.1852054138155275,3278,21794
television,tv,5.4192299084041595,5.047938031994306,0.3712918764098534,27729,157070,43061,305415,12.534245264992867,9.919309866666769,2.6149353983260983,6811,21229
