long,short,long_mean_trigram_surprisal,short_mean_trigram_surprisal,trigram_diff,long_trigram_count,short_trigram_count,long_count,short_count,long_mean_bigram_surprisal,short_mean_bigram_surprisal,bigram_diff,long_bigram_count,short_bigram_count
kilogram,kilo,8.801575446416908,8.042057399449973,0.7595180469669351,1206,2267,2534,4675,14.77313812690507,13.45669929183821,1.3164388350668617,293,617
hippopotamus,hippo,11.157945702053832,9.936114085726418,1.2218316163274139,244,1007,357,1815,16.74276297062097,15.299960101454097,1.4428028691668722,131,421
chimpanzee,chimp,11.119395219182943,10.894136542327487,0.22525867685545542,560,1148,1104,2037,15.973112669599631,15.440064317773533,0.533048351826098,256,479
cockroach,roach,10.755079975089528,9.48187775190847,1.2732022231810571,955,2615,1878,4241,15.203213395002745,14.809189811906977,0.3940235830957679,422,966
rhinoceros,rhino,10.023771959246204,9.177041849903814,0.8467301093423902,345,2903,516,5045,15.492228003404616,14.281531518402174,1.2106964850024422,174,995
dormitory,dorm,11.896186364273744,10.03245700913093,1.863729355142814,449,2138,858,7270,15.455373922868633,13.825033974555337,1.6303399483132957,191,734
carbohydrate,carb,10.21026070887261,9.113059775051791,1.0972009338208188,657,2672,1023,6414,15.781620685080435,14.549655187376752,1.2319654977036834,265,711
saxophone,sax,10.398232970173288,7.907621713961441,2.4906112562118468,665,1236,1123,2097,15.424220245654512,14.115678157150573,1.3085420885039394,255,419
fraternity,frat,10.836894912782263,10.832592648829381,0.004302263952881802,1061,1182,2140,1991,15.31263384073702,15.595583831394281,-0.28294999065726145,435,505
chemotherapy,chemo,11.094869264003117,11.398720574905978,-0.30385131090286066,872,1677,1303,2813,16.259718292958382,16.181478071387374,0.07824022157100785,345,501
referee,ref,8.998926106412206,7.997755766528229,1.001170339883977,4940,9647,17368,38595,12.676723823263634,12.647146229197112,0.02957759406652194,1487,2476
memorandum,memo,9.166478723111949,9.492191008990003,-0.3257122858780548,708,1857,1898,7647,14.339436777583774,14.047485487975326,0.2919512896084484,258,767
limousine,limo,10.234998644807538,10.386481303827406,-0.15148265901986768,363,547,517,974,14.850982204189682,15.199361693441611,-0.3483794892519292,204,252
refrigerator,fridge,11.102835063311119,9.642934828739637,1.4599002345714815,1057,4247,2544,20439,15.516137859135856,13.695953686468636,1.8201841726672203,411,1252
undergraduate,undergrad,10.711431379159844,10.36391775576763,0.3475136233922136,1792,2434,3480,5474,15.03360427401625,14.931501039333504,0.10210323468274574,582,680
bicycle,bike,9.438300152050916,7.639447645348742,1.7988525067021737,7531,28289,21281,130499,13.067103435359986,10.813902848922023,2.2532005864379627,2294,5918
examination,exam,8.065459648992261,7.306295477788669,0.7591641712035928,2706,9903,5224,34468,13.16034890693563,11.753071513673232,1.4072773932623974,904,2527
mathematics,math,9.280745123633745,8.676056456803009,0.6046886668307359,8026,25295,17694,88005,13.702987281726061,12.271696242767518,1.431291038958543,1758,4594
photograph,photo,10.53038994686072,7.511878805811725,3.018511141048994,3449,24847,10868,113168,13.750813741350205,10.263514907275159,3.4872988340750464,1021,6939
pornography,porn,8.220546279059512,7.123186286979776,1.0973599920797357,4039,41400,8468,111662,14.168729791254027,11.19241016508252,2.976319626171506,1097,7325
telephone,phone,9.418948493476721,6.621663779640045,2.7972847138366763,4330,59431,8338,380978,14.00191469934889,9.907228438441049,4.0946862609078405,1435,10046
television,tv,8.435087310671415,6.638308141422919,1.796779169248496,11951,69679,30462,279155,12.899472921791117,9.87708167405584,3.0223912477352783,2598,11659
