long,short,long_mean_trigram_surprisal,short_mean_trigram_surprisal,trigram_diff,long_trigram_count,short_trigram_count,long_count,short_count,long_mean_bigram_surprisal,short_mean_bigram_surprisal,bigram_diff,long_bigram_count,short_bigram_count
kilogram,kilo,5.590734654043578,5.4760820129630625,0.11465264108051532,1614,3150,2534,4675,14.36270184262997,13.66438343827293,0.6983184043570407,674,1187
hippopotamus,hippo,5.303031561050487,5.39243022685186,-0.08939866580137323,240,1184,357,1815,15.405739473783884,14.630801707987727,0.7749377657961567,219,854
chimpanzee,chimp,5.880212081162848,6.267469594436799,-0.3872575132739504,772,1423,1104,2037,15.420005635538969,15.19954325126762,0.22046238427134845,562,989
cockroach,roach,6.084092313863289,5.365181976863629,0.7189103369996603,1291,2833,1878,4241,14.981783593954228,14.199405932424705,0.782377661529523,898,1579
rhinoceros,rhino,4.783921658605432,5.088036272556856,-0.30411461395142414,362,3414,516,5045,14.338061657606161,13.886695641413217,0.45136601619294403,304,1893
dormitory,dorm,6.210789647663445,6.160668306816929,0.050121340846516205,653,4926,858,7270,15.69287581940298,14.034070961659461,1.6588048577435188,459,2005
carbohydrate,carb,5.062099214074108,5.445374338925005,-0.383275124850897,782,3659,1023,6414,14.820065165635318,14.243426450046854,0.576638715588464,467,1302
saxophone,sax,5.879704070407908,4.176860231652772,1.7028438387551361,791,1401,1123,2097,15.159223968692698,14.024327438519878,1.1348965301728207,534,735
fraternity,frat,5.801920203619366,6.383234786465935,-0.5813145828465691,1465,1483,2140,1991,15.118074863001793,15.16012510970218,-0.04205024670038782,967,975
chemotherapy,chemo,6.3661055761698115,6.996247483074703,-0.6301419069048917,939,1937,1303,2813,15.418010370781165,15.283395142582267,0.13461522819889815,616,1010
referee,ref,5.869963786888035,5.669902705533162,0.20006108135487288,10102,20084,17368,38595,12.799692933774866,12.171083351022967,0.6286095827518992,3742,5505
memorandum,memo,3.7233299432402625,5.622935102059858,-1.899605158819596,1127,3228,1898,7647,14.362423376288994,14.143255694613968,0.21916768167502632,568,1443
limousine,limo,5.21185779459107,5.497316262237777,-0.28545846764670735,404,722,517,974,14.969466856583832,15.34920557502748,-0.37973871844364737,342,545
refrigerator,fridge,5.856169707754875,5.567050389930899,0.2891193178239755,1897,13829,2544,20439,14.904767662404987,12.647127943311501,2.2576397190934863,1182,4051
undergraduate,undergrad,6.400116016983538,6.533748713746973,-0.13363269676343492,2432,3540,3480,5474,14.599148843455783,14.430127611852551,0.16902123160323157,1314,1699
bicycle,bike,5.977168187213807,5.280428577131225,0.6967396100825818,14017,70851,21281,130499,12.751250454430949,10.46285490659788,2.288395547833069,4727,12157
examination,exam,4.409411501815954,5.13948737467411,-0.7300758728581567,3796,21713,5224,34468,13.802567140671592,12.256988375849767,1.5455787648218244,1670,4826
mathematics,math,5.687070905139971,6.046352699822896,-0.359281794682925,11836,45650,17694,88005,13.070998032647816,11.508408186703909,1.5625898459439078,3496,9503
photograph,photo,6.513194961366708,5.452083588003553,1.061111373363155,6375,57827,10868,113168,13.780445761894818,10.063799089459616,3.7166466724352016,2654,12840
pornography,porn,4.8976396721686,5.1085222935874,-0.21088262141880065,5052,63746,8468,111662,14.09241933011866,10.936772464433467,3.1556468656851937,1882,11683
telephone,phone,5.554787223484795,5.00438424066631,0.5504029828184853,6016,195445,8338,380978,13.707594014536975,9.086544230751876,4.621049783785098,2870,22685
television,tv,5.376744965058933,4.960362428075871,0.41638253698306205,20254,152723,30462,279155,12.821469202567476,9.527367002647972,3.2941021999195037,5313,21591
