word,sentence_count_wiki,sentence_count_native,native_bert,wiki_bert,native_lr,wiki_lr
bike,30452,77949,0.8102251587657964,0.6068800105138652,0.599,0.6540000000000001
carb,2343,5784,0.9996542185338866,0.9995728321230244,0.7555,0.0
chemo,3390,2930,0.591669511778764,0.29022733982875704,0.591,0.0
chimp,2293,1935,1.0,1.0,0.0,0.0
dorm,6264,6218,0.7721132196847861,0.6196710841449784,0.0,0.6499999999999999
exam,37379,23557,0.7030354489492676,0.618935481281276,0.7795,0.6525000000000001
frat,11558,6442,0.49177274138466315,0.28805053214502035,0.7104999999999999,0.0
fridge,2578,14209,0.5931141308174329,0.6177156177156177,0.6035,0.0
hippo,2332,924,0.9989165763813651,1.0,0.0,0.0
kilo,2613,2322,0.9991386735572783,1.0,0.7273302469135803,0.7798339700264473
limo,2612,1397,0.6614173228346457,0.585982382229031,0.0,0.0
math,60445,49536,0.7601098302073449,0.6133783470691424,0.6689999999999999,0.7424999999999999
memo,9476,7396,0.641920216362407,0.5405576679340938,0.836,0.738
phone,67475,225497,0.9006275918656997,0.629976407045242,0.7324999999999999,0.7
photo,38597,65223,0.8622730618253189,0.6410854521421352,0.6135,0.627
porn,10231,56414,0.7396291306197702,0.5704789833822091,0.6695,0.7470000000000001
ref,16969,23938,0.5930631007104054,0.5236464545078822,0.6074999999999999,0.8295
rhino,5703,2814,0.2751510842516886,0.48525798525798525,0.0,0.7659999999999999
roach,5292,3329,0.4609375,0.4785822592873389,0.0,0.7996311352002409
sax,10597,1432,0.4762569832402235,0.6524862923047835,0.0,0.5924999999999999
tv,464481,208699,0.7730849595521988,0.7064461243565722,0.5970000000000001,0.5720000000000001
undergrad,27625,15676,0.6336842105263157,0.46242125841720366,0.635,0.0
