sense,native_bert,wiki_bert,native_lr,wiki_lr,native_sentence_count,wiki_sentence_count,native_surprisal,wiki_surprisal,native_pmi,wiki_pmi,native_stack,wiki_stack,native_entropy,wiki_entropy,native_reg_prefix,wiki_reg_prefix,native_reg_post,wiki_reg_post
porn,0.6965,0.8035,0.675,0.759,56414,10231,0.5600498819991296,0.5783692181743758,0.5186851699130287,0.6259127949320471,0.6631853785900783,0.7879581151832461,0.5490848711272123,0.5699084904909684,0.6692159079594242,0.6910941475826972,0.6011883132412239,0.7232961116812459
photo,0.685,0.7225,0.5765,0.621,65223,38597,0.6775141392718276,0.5402218601606441,0.8398010120962432,0.5736798601923373,0.7380952380952381,0.6494565217391305,0.4940335812770234,0.5584982207056447,0.5932681806787116,0.5631831909014972,0.5485108312079683,0.6336087752632139
phone,0.72,0.7605,0.7455,0.6825,225497,67475,0.6594164456233421,0.5724719101123596,0.8274110710698525,0.6026363017656686,0.8170103092783505,0.6684073107049608,0.5879820199132305,0.5101897428717148,0.6950648480497728,0.6686923985897298,0.6370173456502958,0.6085847470370319
bike,0.6085,0.7509999999999999,0.6135,0.647,77949,30452,0.6123324396782841,0.5005570501661655,0.6832568815554717,0.4918344306970887,0.689922480620155,0.6763925729442971,0.4883105705739602,0.4911223528636827,0.5751297788006648,0.6446717836983209,0.5521552686827177,0.5817455908901541
tv,0.607,0.6615,0.608,0.5515,208699,464481,0.5188681641176138,0.5843718131811634,0.6327167201123685,0.5846707536912966,0.6718346253229974,0.5978835978835979,0.5577962716818432,0.5177809456691624,0.6169452713533318,0.5564012137169094,0.5372315440304108,0.5493804112554111
carb,1.0,0.9987373740000001,0.747,0.0,5784,2343,0.5803093792882087,0.0,0.6324995883472809,0.0,0.7772020725388601,0.0,0.4806346067199388,0.0,0.7312836621161718,0.0,0.6955420139325152,0.0
math,0.727,0.7975,0.6465,0.745,49536,60445,0.494536922418894,0.4825382695362273,0.5756446719304755,0.5419668746725593,0.6421052631578947,0.7506925207756233,0.5489416482421545,0.5558168892432397,0.6568169818398161,0.717293827564341,0.5914025268497124,0.7686063980205019
limo,0.664879357,0.6802413270000001,0.0,0.0,1397,2612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,0.7206349209999999,0.7175,0.0,0.6355,6218,6264,0.0,0.5041397788595796,0.0,0.5523249718475187,0.0,0.6605263157894737,0.0,0.5038310755247244,0.0,0.5859020441238838,0.0,0.6401220308325293
kilo,1.0,0.9986577179999999,0.0,0.0,2322,2613,0.5099774854840622,0.5803885411526375,0.5095732577788974,0.5800539257981018,0.6875,0.8131147540983606,0.5153864135770723,0.5365335381464413,0.6662506654048619,0.7566595701452541,0.6357518592417921,0.7070154354934045
rhino,0.469811321,0.56,0.0,0.765,2814,5703,0.0,0.4951436758084322,0.0,0.4833757282144205,0.0,0.7667560321715817,0.0,0.4954091371591371,0.0,0.6893334205776463,0.0,0.7170822695035461
undergrad,0.5660000000000001,0.5033333329999999,0.6395,0.0,15676,27625,0.5614160427807485,0.0,0.6330374876634591,0.0,0.6815789473684211,0.0,0.5334018513474119,0.0,0.6064851042066233,0.0,0.6165260454878944,0.0
hippo,1.0,1.0,0.0,0.0,924,2332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimp,1.0,1.0,0.0,0.0,1935,2293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ref,0.5755,0.8759999999999999,0.602,0.8215,23938,16969,0.5835504988512259,0.6266101760089491,0.6867517968657947,0.6177266554042864,0.6300268096514745,0.8051575931232091,0.509506609011386,0.6635273598863269,0.575004110505802,0.7516245593419507,0.584600356506239,0.7563475769873478
roach,0.399182561,0.651254954,0.0,0.0,3329,5292,0.0,0.6804963235294117,0.0,0.6863375672917913,0.0,0.8316151202749141,0.0,0.5934606219648298,0.0,0.775974025974026,0.0,0.7126554406755748
fridge,0.6405,0.727927928,0.615,0.0,14209,2578,0.6851198216409443,0.0,0.8217409164391911,0.0,0.7384615384615385,0.0,0.5343896855042776,0.0,0.5912673643908768,0.0,0.5708135341170477,0.0
exam,0.8495,0.716,0.789,0.6875,23557,37379,0.5399082100968893,0.5258637251979199,0.5773348739763151,0.5428553960521315,0.7969151670951157,0.716931216931217,0.5856431818051698,0.5377093909275692,0.7412438860146708,0.627353948142999,0.74028317253477,0.6253156565656566
chemo,0.5045,0.670673077,0.5955,0.0,2930,3390,0.5232234052990228,0.0,0.5233309474688785,0.0,0.5963060686015831,0.0,0.5040976161760545,0.0,0.5920354981633155,0.0,0.556842513535148,0.0
sax,0.592153285,0.6345,0.0,0.6335,1432,10597,0.0,0.5495100431937601,0.0,0.4976489143931004,0.0,0.6356589147286822,0.0,0.5645795656067283,0.0,0.5774878749552728,0.0,0.5771210419941613
frat,0.4655,0.563049853,0.7175,0.0,6442,11558,0.5314189189189189,0.0,0.509375,0.0,0.6945169712793734,0.0,0.5325784596874067,0.0,0.6281661721316729,0.0,0.7238729244889445,0.0
memo,0.8155,0.769,0.838,0.728,7396,9476,0.5576932863850973,0.5031650363929783,0.5276011381807761,0.5215624295038459,0.8700265251989392,0.7209944751381215,0.6284679665738162,0.5183628147446635,0.7713101850102643,0.6239512715436681,0.7722070844686647,0.7014891374610045
lab,0.7365,0.7495,0.6625,0.665,27148,61777,0.4988889889999977,0.5118322295932543,0.57771539880672,0.5396296902268761,0.6950904392764858,0.6342105263157894,0.5495596651799565,0.5154785398423092,0.6170940011176469,0.6203145377828923,0.6511488158359844,0.573875139751784
info,0.515,0.5605,0.647,0.7015,323546,258122,0.5504,0.6100454921422663,0.6344267223493261,0.7365156723719839,0.6839378238341969,0.7749287749287749,0.4954265040791029,0.6184698097601323,0.6248600519837055,0.6324837662337661,0.5650037397819649,0.6186959524796242
